sku_id,period,qty_total,category_id
598294111,2025-03-10,4.874324e-05,672241
598294111,2025-03-17,2.9376359e-05,672241
598294111,2025-03-24,2.9376359e-05,672241
598294111,2025-03-31,0.000101376165,672241
598294111,2025-04-07,2.9376359e-05,672241
598294111,2025-04-14,0.000101376165,672241
598294111,2025-04-21,0.00038464429,672241
598294111,2025-04-28,0.00012585455,672241
598294111,2025-05-05,0.00038464429,672241
598294111,2025-05-12,0.00012585455,672241
598294111,2025-05-19,0.000101376165,672241
598294111,2025-05-26,0.00012585455,672241
598294111,2025-06-02,0.0004091227,672241
598294111,2025-06-09,0.5280053,672241
598294111,2025-06-16,6.9121716e-06,672241
598302302,2025-03-10,2.0204918e-05,672241
598302302,2025-03-17,2.0204918e-05,672241
598302302,2025-03-24,2.0204918e-05,672241
598302302,2025-03-31,2.0204918e-05,672241
598302302,2025-04-07,2.0204918e-05,672241
598302302,2025-04-14,2.0204918e-05,672241
598302302,2025-04-21,2.0204918e-05,672241
598302302,2025-04-28,2.0204918e-05,672241
598302302,2025-05-05,2.0204918e-05,672241
598302302,2025-05-12,2.0204918e-05,672241
598302302,2025-05-19,2.0204918e-05,672241
598302302,2025-05-26,2.0204918e-05,672241
598302302,2025-06-02,2.0204918e-05,672241
598302302,2025-06-09,2.0204918e-05,672241
598302302,2025-06-16,2.0204918e-05,672241
599653937,2025-03-10,3.384391e-05,672241
599653937,2025-03-17,3.384391e-05,672241
599653937,2025-03-24,-3.251054e-05,672241
599653937,2025-03-31,0.44632873,672241
599653937,2025-04-07,0.004051932,672241
599653937,2025-04-14,0.0067040105,672241
599653937,2025-04-21,0.42916346,672241
599653937,2025-04-28,1.8754052,672241
599653937,2025-05-05,0.0054807323,672241
599653937,2025-05-12,0.0009629466,672241
599653937,2025-05-19,0.0067040105,672241
599653937,2025-05-26,0.0023826368,672241
599653937,2025-06-02,0.0023826368,672241
599653937,2025-06-09,0.9871192,672241
599653937,2025-06-16,0.003704803,672241
599703217,2025-03-10,-0.05447952,672241
599703217,2025-03-17,-0.10471943,672241
599703217,2025-03-24,3.4419236,672241
599703217,2025-03-31,-0.0429986,672241
599703217,2025-04-07,13.185808,672241
599703217,2025-04-14,0.105237976,672241
599703217,2025-04-21,-0.03388672,672241
599703217,2025-04-28,-0.037439823,672241
599703217,2025-05-05,-0.052423466,672241
599703217,2025-05-12,-0.030168021,672241
599703217,2025-05-19,-0.037835818,672241
599703217,2025-05-26,-0.049806304,672241
599703217,2025-06-02,-0.057903655,672241
599703217,2025-06-09,13.194909,672241
599703217,2025-06-16,13.09497,672241
746436995,2025-03-10,3.563046e-05,672241
746436995,2025-03-17,3.563046e-05,672241
746436995,2025-03-24,3.563046e-05,672241
746436995,2025-03-31,3.563046e-05,672241
746436995,2025-04-07,3.563046e-05,672241
746436995,2025-04-14,3.563046e-05,672241
746436995,2025-04-21,3.563046e-05,672241
746436995,2025-04-28,3.563046e-05,672241
746436995,2025-05-05,3.563046e-05,672241
746436995,2025-05-12,3.563046e-05,672241
746436995,2025-05-19,3.563046e-05,672241
